>>> Task 1/15: code_explanation
  code_explanation: 100 done (0 errors, 0.0%)
  extraction_hard_v2: 2100 done (0 errors, 0.0%)
  extraction_hard_v2: 2200 done (0 errors, 0.0%)
  extraction_hard_v2: 2300 done (0 errors, 0.0%)
  extraction_hard_v2: 2400 done (0 errors, 0.0%)
>>> Done: extraction_hard_v2 (2425 cases, 0 errors)
>>> Task 7/15: function_calling
  function_calling: 100 done (0 errors, 0.0%)
  function_calling: 200 done (0 errors, 0.0%)
  function_calling: 300 done (0 errors, 0.0%)
  function_calling: 400 done (0 errors, 0.0%)
  function_calling: 500 done (0 errors, 0.0%)
  function_calling: 600 done (0 errors, 0.0%)
  function_calling: 700 done (0 errors, 0.0%)
  function_calling: 800 done (0 errors, 0.0%)
  function_calling: 900 done (0 errors, 0.0%)
  function_calling: 1000 done (0 errors, 0.0%)
  function_calling: 1100 done (0 errors, 0.0%)
  function_calling: 1200 done (0 errors, 0.0%)
  function_calling: 1300 done (0 errors, 0.0%)
  function_calling: 1400 done (0 errors, 0.0%)
  function_calling: 1500 done (0 errors, 0.0%)
  function_calling: 1600 done (0 errors, 0.0%)
  function_calling: 1700 done (0 errors, 0.0%)
  function_calling: 1800 done (0 errors, 0.0%)
  function_calling: 1900 done (0 errors, 0.0%)
  function_calling: 2000 done (0 errors, 0.0%)
  function_calling: 2100 done (0 errors, 0.0%)
  function_calling: 2200 done (0 errors, 0.0%)
  function_calling: 2300 done (0 errors, 0.0%)
  function_calling: 2400 done (0 errors, 0.0%)
>>> Done: function_calling (2477 cases, 0 errors)
>>> Task 8/15: instruction_following
  instruction_following: 100 done (0 errors, 0.0%)
  instruction_following: 200 done (0 errors, 0.0%)
  instruction_following: 300 done (0 errors, 0.0%)
  instruction_following: 400 done (0 errors, 0.0%)
  instruction_following: 500 done (0 errors, 0.0%)
  instruction_following: 600 done (0 errors, 0.0%)
  instruction_following: 700 done (0 errors, 0.0%)
  instruction_following: 800 done (0 errors, 0.0%)
  instruction_following: 900 done (0 errors, 0.0%)
  instruction_following: 1000 done (0 errors, 0.0%)
  instruction_following: 1100 done (0 errors, 0.0%)
  instruction_following: 1200 done (0 errors, 0.0%)
  instruction_following: 1300 done (0 errors, 0.0%)
  instruction_following: 1400 done (0 errors, 0.0%)
  instruction_following: 1500 done (0 errors, 0.0%)
  instruction_following: 1600 done (0 errors, 0.0%)
  instruction_following: 1700 done (0 errors, 0.0%)
  instruction_following: 1800 done (0 errors, 0.0%)
  instruction_following: 1900 done (0 errors, 0.0%)
  instruction_following: 2000 done (0 errors, 0.0%)
  instruction_following: 2100 done (0 errors, 0.0%)
  instruction_following: 2200 done (0 errors, 0.0%)
  instruction_following: 2300 done (0 errors, 0.0%)
  instruction_following: 2400 done (0 errors, 0.0%)
>>> Done: instruction_following (2404 cases, 0 errors)
>>> Task 9/15: json_transform_v2
  json_transform_v2: 100 done (0 errors, 0.0%)
  json_transform_v2: 200 done (0 errors, 0.0%)
  json_transform_v2: 300 done (0 errors, 0.0%)
  json_transform_v2: 400 done (0 errors, 0.0%)
  json_transform_v2: 500 done (0 errors, 0.0%)
  json_transform_v2: 600 done (0 errors, 0.0%)
  json_transform_v2: 700 done (0 errors, 0.0%)
  json_transform_v2: 800 done (0 errors, 0.0%)
  json_transform_v2: 900 done (0 errors, 0.0%)
  json_transform_v2: 1000 done (0 errors, 0.0%)
  json_transform_v2: 1100 done (0 errors, 0.0%)
  json_transform_v2: 1200 done (0 errors, 0.0%)
  json_transform_v2: 1300 done (0 errors, 0.0%)
  json_transform_v2: 1400 done (0 errors, 0.0%)
  json_transform_v2: 1500 done (0 errors, 0.0%)
  json_transform_v2: 1600 done (0 errors, 0.0%)
  json_transform_v2: 1700 done (0 errors, 0.0%)
  json_transform_v2: 1800 done (0 errors, 0.0%)
  json_transform_v2: 1900 done (0 errors, 0.0%)
  json_transform_v2: 2000 done (0 errors, 0.0%)
  json_transform_v2: 2100 done (0 errors, 0.0%)
  json_transform_v2: 2200 done (0 errors, 0.0%)
  json_transform_v2: 2300 done (0 errors, 0.0%)
>>> Done: json_transform_v2 (2393 cases, 0 errors)
>>> Task 10/15: long_summarization
  long_summarization: 100 done (0 errors, 0.0%)
  long_summarization: 200 done (0 errors, 0.0%)
  long_summarization: 300 done (0 errors, 0.0%)
  long_summarization: 400 done (0 errors, 0.0%)
  long_summarization: 500 done (0 errors, 0.0%)
  long_summarization: 600 done (0 errors, 0.0%)
  long_summarization: 700 done (0 errors, 0.0%)
  long_summarization: 800 done (0 errors, 0.0%)
  long_summarization: 900 done (0 errors, 0.0%)
  long_summarization: 1000 done (0 errors, 0.0%)
  long_summarization: 1100 done (0 errors, 0.0%)
  long_summarization: 1200 done (0 errors, 0.0%)
  long_summarization: 1300 done (0 errors, 0.0%)
  long_summarization: 1400 done (0 errors, 0.0%)
  long_summarization: 1500 done (0 errors, 0.0%)
  long_summarization: 1600 done (0 errors, 0.0%)
  long_summarization: 1700 done (0 errors, 0.0%)
  long_summarization: 1800 done (0 errors, 0.0%)
  long_summarization: 1900 done (0 errors, 0.0%)
  long_summarization: 2000 done (0 errors, 0.0%)
  long_summarization: 2100 done (0 errors, 0.0%)
  long_summarization: 2200 done (0 errors, 0.0%)
  long_summarization: 2300 done (0 errors, 0.0%)
  long_summarization: 2400 done (0 errors, 0.0%)
>>> Done: long_summarization (2400 cases, 0 errors)
>>> Task 11/15: ner_extraction
  ner_extraction: 100 done (0 errors, 0.0%)
  ner_extraction: 200 done (0 errors, 0.0%)
  ner_extraction: 300 done (0 errors, 0.0%)
  ner_extraction: 400 done (0 errors, 0.0%)
  ner_extraction: 500 done (0 errors, 0.0%)
  ner_extraction: 600 done (0 errors, 0.0%)
  ner_extraction: 700 done (0 errors, 0.0%)
  ner_extraction: 800 done (0 errors, 0.0%)
  ner_extraction: 900 done (0 errors, 0.0%)
  ner_extraction: 1000 done (0 errors, 0.0%)
  ner_extraction: 1100 done (0 errors, 0.0%)
  ner_extraction: 1200 done (0 errors, 0.0%)
  ner_extraction: 1300 done (0 errors, 0.0%)
  ner_extraction: 1400 done (0 errors, 0.0%)
  ner_extraction: 1500 done (0 errors, 0.0%)
  ner_extraction: 1600 done (0 errors, 0.0%)
  ner_extraction: 1700 done (0 errors, 0.0%)
  ner_extraction: 1800 done (0 errors, 0.0%)
  ner_extraction: 1900 done (0 errors, 0.0%)
  ner_extraction: 2000 done (0 errors, 0.0%)
  ner_extraction: 2100 done (0 errors, 0.0%)
  ner_extraction: 2200 done (0 errors, 0.0%)
  ner_extraction: 2300 done (0 errors, 0.0%)
  ner_extraction: 2400 done (0 errors, 0.0%)
>>> Done: ner_extraction (2415 cases, 0 errors)
>>> Task 12/15: sql_spider
  sql_spider: 100 done (0 errors, 0.0%)
  sql_spider: 200 done (0 errors, 0.0%)
  sql_spider: 300 done (0 errors, 0.0%)
  sql_spider: 400 done (0 errors, 0.0%)
  sql_spider: 500 done (0 errors, 0.0%)
  sql_spider: 600 done (0 errors, 0.0%)
  sql_spider: 700 done (0 errors, 0.0%)
  sql_spider: 800 done (0 errors, 0.0%)
  sql_spider: 900 done (0 errors, 0.0%)
  sql_spider: 1000 done (0 errors, 0.0%)
  sql_spider: 1100 done (0 errors, 0.0%)
  sql_spider: 1200 done (0 errors, 0.0%)
  sql_spider: 1300 done (0 errors, 0.0%)
  sql_spider: 1400 done (0 errors, 0.0%)
  sql_spider: 1500 done (0 errors, 0.0%)
  sql_spider: 1600 done (0 errors, 0.0%)
  sql_spider: 1700 done (0 errors, 0.0%)
  sql_spider: 1800 done (0 errors, 0.0%)
  sql_spider: 1900 done (0 errors, 0.0%)
  sql_spider: 2000 done (0 errors, 0.0%)
  sql_spider: 2100 done (0 errors, 0.0%)
  sql_spider: 2200 done (0 errors, 0.0%)
  sql_spider: 2300 done (0 errors, 0.0%)
>>> Done: sql_spider (2399 cases, 0 errors)
>>> Task 13/15: structured_output
  structured_output: 100 done (0 errors, 0.0%)
  structured_output: 200 done (0 errors, 0.0%)
  structured_output: 300 done (0 errors, 0.0%)
  structured_output: 400 done (0 errors, 0.0%)
  structured_output: 500 done (0 errors, 0.0%)
  structured_output: 600 done (0 errors, 0.0%)
  structured_output: 700 done (0 errors, 0.0%)
  structured_output: 800 done (0 errors, 0.0%)
  structured_output: 900 done (0 errors, 0.0%)
  structured_output: 1000 done (0 errors, 0.0%)
  structured_output: 1100 done (0 errors, 0.0%)
  structured_output: 1200 done (0 errors, 0.0%)
  structured_output: 1300 done (0 errors, 0.0%)
  structured_output: 1400 done (0 errors, 0.0%)
  structured_output: 1500 done (0 errors, 0.0%)
  structured_output: 1600 done (0 errors, 0.0%)
  structured_output: 1700 done (0 errors, 0.0%)
  structured_output: 1800 done (0 errors, 0.0%)
  structured_output: 1900 done (0 errors, 0.0%)
>>> Done: structured_output (1967 cases, 0 errors)
>>> Task 14/15: test_generation_v2
  test_generation_v2: 100 done (0 errors, 0.0%)
  test_generation_v2: 200 done (0 errors, 0.0%)
  test_generation_v2: 300 done (0 errors, 0.0%)
  test_generation_v2: 400 done (0 errors, 0.0%)
  test_generation_v2: 500 done (0 errors, 0.0%)
  test_generation_v2: 600 done (0 errors, 0.0%)
  test_generation_v2: 700 done (0 errors, 0.0%)
  test_generation_v2: 800 done (0 errors, 0.0%)
  test_generation_v2: 900 done (0 errors, 0.0%)
  test_generation_v2: 1000 done (0 errors, 0.0%)
  test_generation_v2: 1100 done (0 errors, 0.0%)
  test_generation_v2: 1200 done (0 errors, 0.0%)
  test_generation_v2: 1300 done (0 errors, 0.0%)
  test_generation_v2: 1400 done (0 errors, 0.0%)
  test_generation_v2: 1500 done (0 errors, 0.0%)
  test_generation_v2: 1600 done (0 errors, 0.0%)
  test_generation_v2: 1700 done (0 errors, 0.0%)
  test_generation_v2: 1800 done (0 errors, 0.0%)
  test_generation_v2: 1900 done (0 errors, 0.0%)
  test_generation_v2: 2000 done (0 errors, 0.0%)
  test_generation_v2: 2100 done (0 errors, 0.0%)
  test_generation_v2: 2200 done (0 errors, 0.0%)
  test_generation_v2: 2300 done (0 errors, 0.0%)
>>> Done: test_generation_v2 (2383 cases, 0 errors)
>>> Task 15/15: translation_enfr
  translation_enfr: 100 done (0 errors, 0.0%)
  translation_enfr: 200 done (0 errors, 0.0%)
  translation_enfr: 300 done (0 errors, 0.0%)
  translation_enfr: 400 done (0 errors, 0.0%)
  translation_enfr: 500 done (0 errors, 0.0%)
  translation_enfr: 600 done (0 errors, 0.0%)
  translation_enfr: 700 done (0 errors, 0.0%)
  translation_enfr: 800 done (0 errors, 0.0%)
  translation_enfr: 900 done (0 errors, 0.0%)
  translation_enfr: 1000 done (0 errors, 0.0%)
  translation_enfr: 1100 done (0 errors, 0.0%)
  translation_enfr: 1200 done (0 errors, 0.0%)
  translation_enfr: 1300 done (0 errors, 0.0%)
  translation_enfr: 1400 done (0 errors, 0.0%)
  translation_enfr: 1500 done (0 errors, 0.0%)
  translation_enfr: 1600 done (0 errors, 0.0%)
  translation_enfr: 1700 done (0 errors, 0.0%)
  translation_enfr: 1800 done (0 errors, 0.0%)
  translation_enfr: 1900 done (0 errors, 0.0%)
  translation_enfr: 2000 done (0 errors, 0.0%)
  translation_enfr: 2100 done (0 errors, 0.0%)
  translation_enfr: 2200 done (0 errors, 0.0%)
  translation_enfr: 2300 done (0 errors, 0.0%)
  translation_enfr: 2400 done (0 errors, 0.0%)
>>> Done: translation_enfr (2402 cases, 0 errors)

=== COMPLETE: 35562 cases, 0 errors ===
